YER149C	YJL074C	0.144469
YER149C	YLL021W	0.532682
YER157W	YHL031C	0.419174
YER157W	YNL041C	2.90846
YER157W	YNL287W	0.394287
YER166W	YIR006C	0.498649
YFL018C	YGL063W	0.153643
YFL018C	YHR107C	0.578384
YFL018C	YJL092W	0.23829
YFL018C	YMR106C	0.0266183
YFL025C	YLR083C	0.712558
YFL037W	YGR040W	0.339931
YFL037W	YML085C	1.0508
YFL037W	YMR106C	0.392088
YFL037W	YNL090W	0.48399
YFR027W	YMR076C	0.713004
YFR031C	YJL074C	0.714307
YFR031C	YPL124W	0.802056
YFR051C	YGL137W	5.97447
YFR051C	YNL284C	1.65756
YFR051C	YNL287W	4.98126
YGL061C	YGR113W	9.73366
YGL061C	YIR004W	0.47123
YGL061C	YKR037C	9.36771
YGL061C	YMR012W	0.840923
YGL061C	YPL209C	0.665278
YGL062W	YGR040W	0.857678
YGL062W	YHR107C	1.22364
YGL062W	YNL135C	0.135711
YGL094C	YIR006C	0.0860954
YGL100W	YGL137W	1.52185
YGL100W	YML124C	0.656848
YGL128C	YHR165C	9.66702
YGL129C	YHL004W	2.39829
YGL129C	YHL048W	0.211664
YGL137W	YGR202C	2.87836
YGL137W	YML085C	0.70623
YGL137W	YML124C	2.99488
YGL137W	YNL037C	5.53389
YGL137W	YNL284C	1.60589
YGL137W	YNL287W	4.70774
YGL137W	YOR136W	9.18809
YGL236C	YMR047C	0.0345886
YGL253W	YLR383W	0.804606
YGL253W	YNL135C	0.0337351
YGR017W	YIL131C	0.816083
YGR040W	YML085C	0.296217
YGR040W	YML124C	0.732605
YGR040W	YNL085W	0.671094
YGR040W	YOL033W	0.890946
YGR082W	YMR203W	5.23268
YGR084C	YHL004W	2.37777
YGR094W	YLR383W	0.413494
YGR098C	YGR163W	2.22182
YGR113W	YKR037C	9.57633
YGR113W	YPL209C	0.427838
YGR140W	YGR179C	0.842173
YGR140W	YMR094W	0.869086
YGR140W	YPL209C	0.485035
YGR172C	YGR177C	0.741441
YGR172C	YNL044W	0.513283
YGR172C	YOL103W	0.43358
YGR179C	YMR168C	0.231366
YGR181W	YNR017W	0.750251
YGR215W	YHL004W	2.31741
YGR234W	YJL074C	6.5239
YGR239C	YLR191W	0.487377
YGR274C	YMR012W	6.75368
YGR274C	YMR236W	14.7749
YGR274C	YNL236W	6.38598
YHL003C	YMR047C	0.0873424
YHL003C	YMR149W	0.0719086
YHL003C	YNL101W	0.0767328
YHL004W	YIL093C	2.35917
YHL004W	YJR113C	2.32435
YHL004W	YKL155C	2.13935
YHL004W	YMR188C	2.37111
YHL004W	YNL137C	2.34643
YHL004W	YNL306W	2.34117
YHL004W	YNR037C	2.37196
YHL004W	YPL118W	2.30718
YHL004W	YPL255W	0.717652
YHL048W	YJL091C	0.122586
YHL048W	YLR372W	0.0651667
YHL048W	YOL003C	0.106642
YHL048W	YOR378W	0.274901
YHR011W	YPR004C	0.556506
YHR061C	YHR107C	0.630225
YHR061C	YML109W	0.703835
YHR061C	YMR273C	0.359915
YHR076W	YKL108W	0.730358
YHR076W	YMR079W	0.187544
YHR086W	YMR257C	0.693014
YHR098C	YJR048W	0.600324
YHR099W	YMR236W	6.86337
YHR099W	YOL012C	0.450117
YHR107C	YJR076C	11.1344
YHR107C	YLR314C	10.9842
YHR107C	YMR117C	0.0538662
YHR107C	YMR198W	0.685716
YHR107C	YNL166C	0.807133
YHR107C	YPL241C	0.751902
YHR123W	YLR372W	0.499983
YHR123W	YPL227C	0.314624
YHR130C	YNL005C	0.213666
YHR133C	YLR372W	0.561161
YHR133C	YMR149W	0.246395
YHR133C	YMR215W	0.313881
YHR133C	YPL227C	0.532456
YHR144C	YLR191W	0.446856
YHR147C	YNL284C	2.66765
YHR158C	YJL187C	0.894376
YHR158C	YJR122W	0.523703
YHR158C	YKR054C	0.360396
YHR164C	YKL113C	0.199535
YHR165C	YIR004W	0.654732
YHR165C	YOR308C	3.25036
YHR172W	YLR045C	0.884915
YHR172W	YLR212C	3.62996
YIL022W	YNR017W	0.831676
YIL070C	YKL108W	0.926597
YIL070C	YOR326W	4.88062
YIL131C	YIR002C	0.658135
YIL131C	YMR144W	0.925309
YIL132C	YLR376C	0.379174
YIR002C	YLR383W	0.331363
YIR008C	YNL102W	4.10621
YIR008C	YNL262W	0.64898
YJL012C	YJR143C	0.551935
YJL019W	YOL012C	0.259187
YJL054W	YOR297C	0.499929
YJL074C	YLR086W	0.324513
YJL091C	YMR047C	0.478992
YJL091C	YMR215W	0.468482
YJL124C	YJR143C	0.701531
YJL143W	YMR203W	0.843533
YJL143W	YNR017W	1.30633
YJL158C	YJR030C	0.536989
YJL187C	YKL042W	0.682966
YJL187C	YOR326W	0.732761
YJL187C	YPL124W	0.843624
YJR048W	YNL334C	0.526289
YJR076C	YLR314C	11.1408
YJR076C	YML109W	0.695759
YJR076C	YMR012W	1.09875
YJR076C	YNL166C	0.556473
YKL042W	YPL124W	5.11291
YKL054C	YMR106C	4.24166
YKL080W	YMR054W	1.9803
YKL101W	YLR314C	0.767176
YKL108W	YLR191W	0.133933
YKL108W	YMR287C	0.540122
YKL165C	YLR372W	0.566684
YKL192C	YPL163C	0.558664
YKR054C	YMR117C	0.187161
YLL021W	YOL112W	0.393974
YLR021W	YPL144W	0.391197
YLR034C	YLR056W	0.112332
YLR034C	YMR215W	0.261274
YLR077W	YMR047C	0.0914395
YLR153C	YLR383W	0.643525
YLR239C	YPL073C	0.566345
YLR314C	YNL166C	0.567298
YLR335W	YMR047C	0.367641
YLR335W	YOR020C	0.0677742
YLR372W	YMR058W	0.6792
YLR372W	YMR149W	0.319277
YLR372W	YMR215W	0.715935
YLR372W	YNL048W	0.232334
YLR372W	YNL101W	0.596179
YLR378C	YPL253C	0.255715
YLR383W	YPL262W	0.447101
YLR383W	YPR165W	0.283994
YLR434C	YMR047C	0.136259
YLR439W	YNL185C	2.71818
YLR439W	YNL284C	2.72583
YML009C	YNL284C	2.72458
YML025C	YNL185C	2.7165
YML061C	YMR063W	0.273501
YML065W	YML109W	0.181901
YML085C	YML115C	0.0615746
YML085C	YMR106C	0.492586
YML085C	YNL090W	0.462259
YML085C	YOL086C	0.719241
YML109W	YMR273C	5.17748
YML109W	YPR165W	0.202904
YML124C	YMR106C	0.644118
YMR003W	YPR141C	0.859246
YMR012W	YMR106C	3.23832
YMR012W	YMR198W	1.03233
YMR024W	YNL185C	2.68786
YMR024W	YNL284C	2.69117
YMR047C	YMR307W	0.19541
YMR047C	YNL300W	0.142174
YMR047C	YNR040W	0.0873328
YMR047C	YOR020C	0.235301
YMR047C	YOR064C	0.261282
YMR047C	YOR112W	0.382142
YMR047C	YOR286W	0.143822
YMR047C	YPL013C	0.272357
YMR048W	YNL273W	0.68717
YMR058W	YOL003C	0.331158
YMR058W	YPL227C	0.422455
YMR078C	YNL262W	1.90588
YMR094W	YMR168C	0.727785
YMR106C	YMR287C	4.72042
YMR106C	YNL037C	7.336
YMR149W	YOR085W	3.40538
YMR193W	YNL284C	2.68786
YMR198W	YPR141C	2.68382
YMR199W	YPL255W	0.855421
YMR215W	YNL044W	0.491433
YMR215W	YPL227C	0.565373
YMR225C	YNL284C	2.66167
YMR236W	YNL099C	0.508819
YMR257C	YNL121C	0.797036
YNL005C	YNL185C	2.66251
YNL005C	YNL284C	2.62745
YNL037C	YOR136W	1.39674
