YGR161C	YKR028W
YGR209C	YPL020C
YGR240C	YHR102W
YGR250C	YJL057C
YGR250C	YNL025C
YGR254W	YOR089C
YGR254W	YOR212W
YGR254W	YOR269W
YGR254W	YPR178W
YGR284C	YHL048W
YGR284C	YJR010C-A
YGR284C	YLL061W
YGR284C	YPL264C
YHL042W	YJR010C-A
YHL042W	YJR117W
YHL042W	YKL065C
YHL042W	YPL264C
YHL044W	YHR114W
YHL044W	YKR035C
YHL048W	YJR117W
YHL048W	YKL065C
YHR030C	YHR102W
YHR030C	YIL113W
YHR030C	YJL130C
YHR030C	YKL152C
YHR030C	YMR276W
YHR030C	YNL007C
YHR030C	YNL053W
YHR030C	YOR080W
YHR030C	YOR208W
YHR030C	YPL240C
YHR030C	YPR054W
YHR030C	YPR111W
YHR034C	YJR022W
YHR053C	YKL023W
YHR081W	YNL092W
YHR102W	YPL018W
YHR114W	YIL045W
YHR114W	YJL065C
YHR114W	YJL151C
YHR114W	YJL152W
YHR114W	YJR108W
YHR114W	YKL175W
YHR114W	YKL177W
YHR114W	YKL204W
YHR114W	YKR030W
YHR114W	YLL005C
YHR114W	YLR064W
YHR114W	YLR324W
YHR114W	YML131W
YHR114W	YMR162C
YHR114W	YNL084C
YHR114W	YNL092W
YHR114W	YNL280C
YHR114W	YNR016C
YHR114W	YOL082W
YHR114W	YOR175C
YHR132C	YLR447C
YHR161C	YIR006C
YHR171W	YNL212W
YHR185C	YIL007C
YIL007C	YKL152C
YIL030C	YKL209C
YIL033C	YJL164C
YIL033C	YNL093W
YIL040W	YLL024C
YIL045W	YLR258W
YIL045W	YOR178C
YIL046W	YKL152C
YIL046W	YNL007C
YIL046W	YNL103W
YIL046W	YPL240C
YIL047C	YOR212W
YIL066C	YKL035W
YIL075C	YLR421C
YIL075C	YMR276W
YIL075C	YPR111W
YIL112W	YKR029C
YIL112W	YNL147W
YIL112W	YOL068C
YIL124W	YLR447C
YIL150C	YLR288C
YIR005W	YJL034W
YIR005W	YJL130C
