YDR118W	YMR001C
YDR118W	YNL172W
YDR129C	YMR246W
YDR129C	YNL135C
YDR142C	YDR244W
YDR142C	YIL160C
YDR142C	YNL071W
YDR145W	YPR072W
YDR150W	YOL069W
YDR155C	YFL014W
YDR155C	YGL194C
YDR155C	YMR036C
YDR155C	YOL068C
YDR155C	YOR290C
YDR176W	YDR457W
YDR176W	YEL009C
YDR176W	YOL148C
YDR192C	YMR255W
YDR192C	YOR160W
YDR202C	YDR328C
YDR244W	YGL205W
YDR244W	YGR077C
YDR264C	YPL242C
YDR306C	YDR328C
YDR328C	YEL060C
YDR328C	YHR205W
YDR328C	YLR079W
YDR328C	YLR368W
YDR328C	YNL015W
YDR328C	YNL116W
YDR328C	YPR036W
YDR334W	YJL081C
YDR342C	YOL100W
YDR343C	YER125W
YDR343C	YKL193C
YDR343C	YNL032W
YDR343C	YOL100W
YDR357C	YPR182W
YDR359C	YOR244W
YDR381W	YGL190C
YDR381W	YNL230C
YDR404C	YER125W
YDR404C	YIL021W
YDR404C	YOL005C
YDR404C	YPL203W
YDR409W	YMR032W
YDR422C	YDR477W
YDR422C	YLR306W
YDR424C	YPR119W
YDR425W	YKR014C
YDR427W	YER012W
YDR427W	YFR004W
YDR427W	YFR010W
YDR427W	YFR052W
YDR427W	YHR200W
YDR427W	YOR261C
YDR427W	YPR108W
YDR436W	YFR003C
YDR436W	YKL193C
YDR436W	YMR311C
YDR457W	YGR052W
YDR466W	YMR109W
YDR473C	YPL031C
YDR473C	YPR178W
YDR477W	YEL060C
YDR477W	YJL089W
YDR477W	YMR001C
YDR477W	YNL257C
YDR477W	YOR351C
YDR490C	YGR086C
YDR490C	YHR207C
YDR490C	YMR047C
YDR490C	YPL004C
YDR497C	YER125W
YDR497C	YNL307C
YDR505C	YPR154W
YEL013W	YLR254C
YEL060C	YGL137W
YER012W	YER094C
YER012W	YFR004W
YER012W	YFR050C
YER012W	YFR052W
YER012W	YGL048C
YER012W	YGR135W
YER012W	YHR200W
YER012W	YML092C
YER012W	YOL038W
YER012W	YOR261C
YER012W	YPR108W
YER054C	YGR052W
YER054C	YLR258W
YER054C	YPL203W
YER068W	YPR072W
YER094C	YHR200W
YER094C	YML092C
YER094C	YOR157C
YER095W	YLR337C
YER100W	YFL038C
YER112W	YER124C
YER112W	YGL173C
YER112W	YJL155C
YER112W	YLR269C
YER112W	YMR304W
YER119C	YMR047C
YER125W	YGL087C
YER125W	YGR052W
YER125W	YGR268C
YER125W	YHR097C
YER125W	YIL021W
YER125W	YKL020C
YER125W	YLR392C
YER125W	YNL071W
YER125W	YOL005C
YER142C	YGL173C
YER144C	YMR032W
YER144C	YOR157C
YER161C	YHL034C
YER161C	YPL125W
YER178W	YGL137W
YER178W	YLL019C
YER178W	YOL108C
YER179W	YOR285W
YFL013C	YOR264W
YFL038C	YLR078C
YFL038C	YOR036W
YFL042C	YMR303C
YFL049W	YOR290C
YFL049W	YPL016W
YFL062W	YML048W
YFR003C	YPL179W
YFR004W	YFR010W
YFR004W	YFR052W
YFR004W	YGL048C
YFR004W	YHL030W
YFR004W	YHR200W
YFR004W	YIR011C
YFR004W	YOR261C
YFR004W	YPR108W
YFR010W	YGL048C
YFR010W	YHL030W
YFR010W	YHR200W
YFR010W	YOR259C
YFR010W	YOR261C
YFR050C	YHR200W
YFR050C	YJL047C
YFR050C	YML092C
YFR050C	YOR261C
YFR052W	YGL048C
YFR052W	YHL030W
YFR052W	YHR200W
YFR052W	YOR259C
YFR052W	YOR261C
YFR052W	YPR108W
YGL003C	YJL106W
YGL003C	YMR001C
YGL003C	YMR304W
YGL003C	YPR119W
YGL048C	YGL137W
YGL048C	YHR200W
YGL048C	YMR001C
YGL048C	YOR259C
YGL048C	YPR108W
YGL058W	YJL047C
YGL072C	YPR154W
YGL087C	YOR220W
YGL095C	YKL196C
YGL095C	YMR197C
YGL104C	YML048W
YGL116W	YPR119W
YGL130W	YGL207W
YGL130W	YOL145C
YGL130W	YPL228W
YGL137W	YGR086C
YGL137W	YIL124W
YGL137W	YKL204W
YGL137W	YKR046C
YGL137W	YLR078C
YGL137W	YOR374W
YGL137W	YPR108W
YGL156W	YOL001W
